source_build,target_build,opcode,direction,field_key,check,edge_value,home_value,severity
2521,2520,0x0058,IN,Coord/z:Int16,dist_diverge,tvd=0.866,home_other=0.32,high
2521,2520,0x0058,IN,Velocity/x:Int16,dist_diverge,tvd=0.511,home_other=0.36,medium
2527,2520,0x0058,IN,NpcControl #/BufferSize:Int16,dist_diverge,tvd=0.562,home_other=0.00,medium
2527,2520,0x0058,IN,NpcControl #/Counter (per action):Int16,dist_diverge,tvd=0.579,home_other=0.73,medium
2527,2520,0x0058,IN,NpcControl #/ObjectId:Int32,dist_diverge,tvd=1.000,home_other=0.00,high
2527,2520,0x0058,IN,NpcControl #/PositionCoordS/X:Int16,dist_diverge,tvd=0.835,home_other=0.20,high
2527,2520,0x0058,IN,NpcControl #/PositionCoordS/Y:Int16,dist_diverge,tvd=0.860,home_other=0.18,high
2527,2520,0x0058,IN,NpcControl #/PositionCoordS/Z:Int16,dist_diverge,tvd=0.974,home_other=0.00,high
2527,2520,0x0058,IN,NpcControl #/Rotation / #:Int16,dist_diverge,tvd=0.601,home_other=0.00,high
2527,2520,0x0058,IN,NpcControl #/SequenceId:Int16,dist_diverge,tvd=0.578,home_other=0.00,medium
2527,2520,0x0058,IN,NpcControl #/Short / #:Int16,count_neg,-32768,"[100,100]",high
2527,2520,0x0058,IN,NpcControl #/state:Byte,dist_diverge,tvd=0.603,home_other=0.00,high
12,2521,0x0011,IN,/TimeOffset:Int32,dist_diverge,tvd=1.000,home_other=0.00,high
12,2521,0x0024,IN,/ItemId:Int32,dist_diverge,tvd=0.896,home_other=0.12,high
2502,2521,0x0024,IN,/item id:Int32,dist_diverge,tvd=0.669,home_other=0.09,high
2527,2521,0x0058,IN,NpcControl #/ObjectId:Int32,dist_diverge,tvd=1.000,home_other=0.00,high
2527,2521,0x0058,IN,NpcControl #/PositionCoordS/X:Int16,dist_diverge,tvd=0.782,home_other=0.20,high
2527,2521,0x0058,IN,NpcControl #/PositionCoordS/Y:Int16,dist_diverge,tvd=0.810,home_other=0.18,high
2527,2521,0x0058,IN,NpcControl #/PositionCoordS/Z:Int16,dist_diverge,tvd=1.000,home_other=0.00,high
2527,2521,0x0058,IN,NpcControl #/Rotation / #:Int16,dist_diverge,tvd=0.847,home_other=0.00,high
2527,2521,0x0058,IN,NpcControl #/SequenceId:Int16,dist_diverge,tvd=0.641,home_other=0.00,high
12,2522,0x0011,IN,/TimeOffset:Int32,dist_diverge,tvd=1.000,home_other=0.00,high
12,2522,0x0024,IN,/ItemId:Int32,dist_diverge,tvd=1.000,home_other=0.12,high
2502,2522,0x0024,IN,/item id:Int32,dist_diverge,tvd=0.735,home_other=0.09,high
2507,2522,0x0024,IN,/item id:Int32,dist_diverge,tvd=0.674,home_other=0.09,high
2527,2522,0x0058,IN,NpcControl #/ObjectId:Int32,dist_diverge,tvd=1.000,home_other=0.00,high
2527,2522,0x0058,IN,NpcControl #/PositionCoordS/X:Int16,dist_diverge,tvd=0.973,home_other=0.20,high
2527,2522,0x0058,IN,NpcControl #/PositionCoordS/Y:Int16,dist_diverge,tvd=0.822,home_other=0.18,high
2527,2522,0x0058,IN,NpcControl #/PositionCoordS/Z:Int16,dist_diverge,tvd=1.000,home_other=0.00,high
2527,2522,0x0058,IN,NpcControl #/Rotation / #:Int16,dist_diverge,tvd=0.835,home_other=0.00,high
2527,2522,0x0058,IN,NpcControl #/SequenceId:Int16,dist_diverge,tvd=0.729,home_other=0.00,high
12,2524,0x0011,IN,/TimeOffset:Int32,dist_diverge,tvd=1.000,home_other=0.00,high
12,2524,0x0024,IN,/ItemId:Int32,dist_diverge,tvd=0.726,home_other=0.12,high
2521,2524,0x0058,IN,/Look direction:Int16,dist_diverge,tvd=0.791,home_other=0.50,high
2521,2524,0x0058,IN,/ObjectID:Int32,dist_diverge,tvd=0.923,home_other=0.56,high
2521,2524,0x0058,IN,/animation:Int16,dist_diverge,tvd=0.505,home_other=0.01,medium
2521,2524,0x0058,IN,Coord/x:Int16,dist_diverge,tvd=0.728,home_other=0.43,high
2521,2524,0x0058,IN,Coord/y:Int16,dist_diverge,tvd=0.877,home_other=0.59,high
2521,2524,0x0058,IN,Coord/z:Int16,dist_diverge,tvd=0.873,home_other=0.32,high
2521,2524,0x0058,IN,Velocity/x:Int16,dist_diverge,tvd=0.589,home_other=0.36,medium
2527,2524,0x0058,IN,NpcControl #/ObjectId:Int32,dist_diverge,tvd=1.000,home_other=0.00,high
2527,2524,0x0058,IN,NpcControl #/PositionCoordS/X:Int16,dist_diverge,tvd=0.959,home_other=0.20,high
2527,2524,0x0058,IN,NpcControl #/PositionCoordS/Y:Int16,dist_diverge,tvd=0.963,home_other=0.18,high
2527,2524,0x0058,IN,NpcControl #/PositionCoordS/Z:Int16,dist_diverge,tvd=0.998,home_other=0.00,high
2527,2524,0x0058,IN,NpcControl #/Rotation / #:Int16,dist_diverge,tvd=0.606,home_other=0.00,high
12,2525,0x0024,IN,/ItemId:Int32,dist_diverge,tvd=0.728,home_other=0.12,high
2507,2525,0x0024,IN,/item id:Int32,dist_diverge,tvd=0.537,home_other=0.09,medium
2527,2525,0x0058,IN,NpcControl #/BufferSize:Int16,count_neg,-22858,"[26,26]",high
2527,2525,0x0058,IN,NpcControl #/Flags:Byte,dist_diverge,tvd=0.845,home_other=0.00,high
2527,2525,0x0058,IN,NpcControl #/ObjectId:Int32,dist_diverge,tvd=1.000,home_other=0.00,high
2527,2525,0x0058,IN,NpcControl #/PositionCoordS/X:Int16,dist_diverge,tvd=0.668,home_other=0.20,high
2527,2525,0x0058,IN,NpcControl #/PositionCoordS/Y:Int16,dist_diverge,tvd=0.763,home_other=0.18,high
2527,2525,0x0058,IN,NpcControl #/PositionCoordS/Z:Int16,dist_diverge,tvd=0.622,home_other=0.00,high
2527,2525,0x0058,IN,NpcControl #/Rotation / #:Int16,dist_diverge,tvd=0.839,home_other=0.00,high
2527,2525,0x0058,IN,NpcControl #/Short / #:Int16,count_neg,-32512,"[100,100]",high
2527,2525,0x0058,IN,NpcControl #/Short / #:Int16,dist_diverge,tvd=0.586,home_other=0.00,medium
12,2527,0x0024,IN,/ItemId:Int32,dist_diverge,tvd=0.694,home_other=0.12,high
2507,2527,0x0024,IN,/item id:Int32,dist_diverge,tvd=0.679,home_other=0.09,high
2521,2527,0x0058,IN,/Look direction:Int16,dist_diverge,tvd=0.822,home_other=0.50,high
2521,2527,0x0058,IN,/ObjectID:Int32,dist_diverge,tvd=0.873,home_other=0.56,high
2521,2527,0x0058,IN,Coord/x:Int16,dist_diverge,tvd=0.597,home_other=0.43,medium
2521,2527,0x0058,IN,Coord/y:Int16,dist_diverge,tvd=0.626,home_other=0.59,high
2521,2527,0x0058,IN,Coord/z:Int16,dist_diverge,tvd=0.924,home_other=0.32,high
2521,2527,0x0058,IN,Velocity/x:Int16,dist_diverge,tvd=0.519,home_other=0.36,medium
12,2528,0x0024,IN,/ItemId:Int32,dist_diverge,tvd=0.773,home_other=0.12,high
2507,2528,0x0024,IN,/item id:Int32,dist_diverge,tvd=0.738,home_other=0.09,high
12,2529,0x0011,IN,/TimeOffset:Int32,dist_diverge,tvd=1.000,home_other=0.00,high
12,2529,0x0024,IN,/ItemId:Int32,dist_diverge,tvd=0.798,home_other=0.12,high
2528,2529,0x002E,IN,Stat #/StatMax:Int32,dist_diverge,tvd=0.694,home_other=0.00,high
2528,2529,0x002E,IN,Stat #/StatTotal:Int32,dist_diverge,tvd=0.695,home_other=0.00,high
2512,2529,0x003C,IN,/ObjectId:Int32,dist_diverge,tvd=0.971,home_other=0.24,high
2512,2529,0x003C,IN,/SkillId:Int32,dist_diverge,tvd=0.982,home_other=0.15,high
2512,2529,0x003C,IN,/SkillLevel:Int16,dist_diverge,tvd=0.532,home_other=0.00,medium
2512,2529,0x003C,IN,DirectionCoordF/X:Single,dist_diverge,tvd=0.521,home_other=0.30,medium
2512,2529,0x003C,IN,DirectionCoordF/Y:Single,dist_diverge,tvd=0.532,home_other=0.32,medium
2512,2529,0x003C,IN,PositionCoordS/Z:Int16,dist_diverge,tvd=0.966,home_other=0.15,high
2521,2529,0x0058,IN,Coord/z:Int16,dist_diverge,tvd=0.512,home_other=0.32,medium
2527,2529,0x0058,IN,NpcControl #/ObjectId:Int32,dist_diverge,tvd=1.000,home_other=0.00,high
2527,2529,0x0058,IN,NpcControl #/PositionCoordS/X:Int16,dist_diverge,tvd=0.740,home_other=0.20,high
2527,2529,0x0058,IN,NpcControl #/PositionCoordS/Y:Int16,dist_diverge,tvd=0.725,home_other=0.18,high
2527,2529,0x0058,IN,NpcControl #/PositionCoordS/Z:Int16,dist_diverge,tvd=0.999,home_other=0.00,high
2527,2529,0x0058,IN,NpcControl #/Rotation / #:Int16,dist_diverge,tvd=0.696,home_other=0.00,high
2527,2529,0x0058,IN,NpcControl #/SequenceId:Int16,dist_diverge,tvd=0.525,home_other=0.00,medium
2527,2529,0x0058,IN,NpcControl #/Short / #:Int16,count_neg,-32000,"[100,100]",high
12,2530,0x0024,IN,/ItemId:Int32,dist_diverge,tvd=1.000,home_other=0.12,high
2502,2530,0x0024,IN,/item id:Int32,dist_diverge,tvd=0.735,home_other=0.09,high
2507,2530,0x0024,IN,/item id:Int32,dist_diverge,tvd=0.674,home_other=0.09,high
12,2531,0x0024,IN,/ItemId:Int32,dist_diverge,tvd=0.773,home_other=0.12,high
2507,2531,0x0024,IN,/item id:Int32,dist_diverge,tvd=0.738,home_other=0.09,high
2527,2531,0x0058,IN,NpcControl #/Counter (per action):Int16,dist_diverge,tvd=0.864,home_other=0.73,high
2527,2531,0x0058,IN,NpcControl #/ObjectId:Int32,dist_diverge,tvd=1.000,home_other=0.00,high
2527,2531,0x0058,IN,NpcControl #/PositionCoordS/X:Int16,dist_diverge,tvd=0.949,home_other=0.20,high
2527,2531,0x0058,IN,NpcControl #/PositionCoordS/Y:Int16,dist_diverge,tvd=0.871,home_other=0.18,high
2527,2531,0x0058,IN,NpcControl #/PositionCoordS/Z:Int16,dist_diverge,tvd=1.000,home_other=0.00,high
2527,2531,0x0058,IN,NpcControl #/Rotation / #:Int16,dist_diverge,tvd=0.578,home_other=0.00,medium
2527,2531,0x0058,IN,NpcControl #/SequenceId:Int16,dist_diverge,tvd=0.655,home_other=0.00,high
12,2532,0x0011,IN,/TimeOffset:Int32,dist_diverge,tvd=1.000,home_other=0.00,high
12,2532,0x0024,IN,/ItemId:Int32,dist_diverge,tvd=0.756,home_other=0.12,high
2502,2532,0x0024,IN,/item id:Int32,dist_diverge,tvd=0.513,home_other=0.09,medium
2507,2532,0x0024,IN,/item id:Int32,dist_diverge,tvd=0.644,home_other=0.09,high
2528,2532,0x002E,IN,Stat #/StatMax:Int32,dist_diverge,tvd=0.544,home_other=0.00,medium
2528,2532,0x002E,IN,Stat #/StatTotal:Int32,dist_diverge,tvd=0.544,home_other=0.00,medium
12,2533,0x0011,IN,/TimeOffset:Int32,dist_diverge,tvd=1.000,home_other=0.00,high
12,2533,0x0024,IN,/ItemId:Int32,dist_diverge,tvd=0.996,home_other=0.12,high
2502,2533,0x0024,IN,/item id:Int32,dist_diverge,tvd=0.731,home_other=0.09,high
2507,2533,0x0024,IN,/item id:Int32,dist_diverge,tvd=0.674,home_other=0.09,high
2527,2533,0x0058,IN,NpcControl #/ObjectId:Int32,dist_diverge,tvd=1.000,home_other=0.00,high
2527,2533,0x0058,IN,NpcControl #/PositionCoordS/X:Int16,dist_diverge,tvd=0.953,home_other=0.20,high
2527,2533,0x0058,IN,NpcControl #/PositionCoordS/Y:Int16,dist_diverge,tvd=0.966,home_other=0.18,high
2527,2533,0x0058,IN,NpcControl #/PositionCoordS/Z:Int16,dist_diverge,tvd=1.000,home_other=0.00,high
2527,2533,0x0058,IN,NpcControl #/Rotation / #:Int16,dist_diverge,tvd=0.666,home_other=0.00,high
2506,2533,0x005E,IN,/timestamp:Int64,dist_diverge,tvd=0.865,home_other=0.97,high
2506,2533,0x005E,IN,/trophy id:Int32,dist_diverge,tvd=0.535,home_other=0.86,medium
12,2546,0x0011,IN,/TimeOffset:Int32,dist_diverge,tvd=1.000,home_other=0.00,high
12,2546,0x0019,IN,/count:Int32,dist_diverge,tvd=0.976,home_other=0.00,high
12,2546,0x0019,IN,DungeonRoom #/Unknown:Byte,dist_diverge,tvd=0.521,home_other=0.00,medium
2500,2546,0x0019,IN,/zero:Byte,dist_diverge,tvd=0.736,home_other=0.00,high
12,2546,0x001D,IN,/AccountId:Int64,dist_diverge,tvd=1.000,home_other=0.00,high
12,2546,0x001D,IN,/Channel:Int32,dist_diverge,tvd=0.685,home_other=0.00,high
12,2546,0x001D,IN,/CharacterId:Int64,dist_diverge,tvd=0.975,home_other=0.02,high
12,2546,0x001D,IN,/Type:Int32,dist_diverge,tvd=0.673,home_other=0.00,high
12,2546,0x001D,IN,Name/size:Int16,dist_diverge,tvd=0.541,home_other=0.00,medium
12,2546,0x0024,IN,/ItemId:Int32,dist_diverge,tvd=0.985,home_other=0.12,high
2502,2546,0x0024,IN,/item id:Int32,dist_diverge,tvd=0.719,home_other=0.09,high
2507,2546,0x0024,IN,/item id:Int32,dist_diverge,tvd=0.672,home_other=0.09,high
12,2546,0x0034,OUT,/Height:Single,dist_diverge,tvd=0.523,home_other=0.56,medium
2512,2546,0x003C,IN,/ObjectId:Int32,dist_diverge,tvd=0.755,home_other=0.24,high
2512,2546,0x003C,IN,/SkillId:Int32,dist_diverge,tvd=0.843,home_other=0.15,high
2512,2546,0x003C,IN,PositionCoordS/Z:Int16,dist_diverge,tvd=0.657,home_other=0.15,high
2507,2546,0x0048,IN,/target map id:Int32,dist_diverge,tvd=0.637,home_other=0.05,high
2507,2546,0x0048,IN,coords/x:Single,dist_diverge,tvd=0.554,home_other=0.19,medium
2507,2546,0x0048,IN,coords/y:Single,dist_diverge,tvd=0.593,home_other=0.20,medium
2512,2546,0x004C,IN,/OwnerObjectId:Int32,dist_diverge,tvd=0.954,home_other=0.05,high
2512,2546,0x004C,IN,/ServerTicks:Int32,dist_diverge,tvd=0.532,home_other=0.85,medium
2512,2546,0x004C,IN,/SkillId:Int32,dist_diverge,tvd=0.983,home_other=0.00,high
2512,2546,0x004C,IN,/SkillLevel:Int16,dist_diverge,tvd=0.808,home_other=0.00,high
2512,2546,0x004C,IN,PositionCoordF/Y:Single,dist_diverge,tvd=0.705,home_other=0.71,high
2512,2546,0x004C,IN,PositionCoordF/Z:Single,dist_diverge,tvd=0.956,home_other=0.23,high
2521,2546,0x0055,IN,/?:Int16,count_neg,-2509,"[0,902]",high
2521,2546,0x0055,IN,/hp base:Int64,dist_diverge,tvd=0.691,home_other=0.00,high
2521,2546,0x0055,IN,/hp bonus:Int64,dist_diverge,tvd=0.691,home_other=0.00,high
2521,2546,0x0055,IN,/hp total:Int64,dist_diverge,tvd=0.691,home_other=0.00,high
2521,2546,0x0055,IN,/id:Int32,dist_diverge,tvd=0.997,home_other=0.00,high
2521,2546,0x0055,IN,coord/y:Single,dist_diverge,tvd=0.602,home_other=0.30,high
2521,2546,0x0055,IN,coord/z:Single,dist_diverge,tvd=0.588,home_other=0.00,medium
2486,2546,0x006A,IN,Cube #/AccountId:Int64,dist_diverge,tvd=0.906,home_other=0.23,high
2486,2546,0x006A,IN,Cube #/CubeItemInfo/CUgcItemLook/AccountId:Int64,dist_diverge,tvd=0.925,home_other=0.00,high
2486,2546,0x006A,IN,Cube #/CubeItemInfo/CUgcItemLook/CharacterId:Int64,dist_diverge,tvd=0.933,home_other=0.00,high
2486,2546,0x006A,IN,Cube #/CubeItemInfo/CUgcItemLook/CreationTime:Int64,dist_diverge,tvd=0.687,home_other=0.71,high
2486,2546,0x006A,IN,Cube #/CubeItemInfo/CUgcItemLook/Uid:Int64,dist_diverge,tvd=0.687,home_other=0.71,high
2486,2546,0x006A,IN,Cube #/IsTaken:Byte,dist_diverge,tvd=0.588,home_other=0.00,medium
2502,2546,0x006A,IN,/item_id:Int32,dist_diverge,tvd=0.756,home_other=0.21,high
2502,2546,0x006A,IN,/plot number:Int32,count_neg,-2147287552,"[1,10]",high
2502,2546,0x006A,IN,/plot number:Int32,dist_diverge,tvd=0.669,home_other=0.00,high
2502,2546,0x006A,IN,/x:Byte,dist_diverge,tvd=0.593,home_other=0.00,medium
2502,2546,0x006A,IN,/y:Byte,dist_diverge,tvd=0.585,home_other=0.00,medium
2502,2546,0x006A,IN,/z:Byte,dist_diverge,tvd=0.521,home_other=0.00,medium
2502,2546,0x006A,IN,/zero:Int32,dist_diverge,tvd=0.519,home_other=0.00,medium
2502,2546,0x006A,IN,/zero:Int64,dist_diverge,tvd=0.572,home_other=0.00,medium
2503,2546,0x006A,IN,/item_id:Int32,dist_diverge,tvd=0.774,home_other=0.19,high
2503,2546,0x006A,IN,/plot number:Int32,count_neg,-2147287552,"[1,1]",high
2503,2546,0x006A,IN,/plot number:Int32,dist_diverge,tvd=0.670,home_other=0.00,high
2503,2546,0x006A,IN,/x:Byte,dist_diverge,tvd=0.593,home_other=0.00,medium
2503,2546,0x006A,IN,/y:Byte,dist_diverge,tvd=0.586,home_other=0.00,medium
2503,2546,0x006A,IN,/z:Byte,dist_diverge,tvd=0.515,home_other=0.00,medium
2503,2546,0x006A,IN,/zero:Int32,dist_diverge,tvd=0.519,home_other=0.00,medium
2503,2546,0x006A,IN,/zero:Int64,dist_diverge,tvd=0.572,home_other=0.00,medium
2529,2546,0x0075,IN,/SkillId:Int32,dist_diverge,tvd=1.000,home_other=0.00,high
2529,2546,0x0075,IN,/SkillLevel:Int16,dist_diverge,tvd=0.587,home_other=0.00,medium
2529,2546,0x0075,IN,/coord x:Int16,dist_diverge,tvd=0.875,home_other=0.12,high
2529,2546,0x0075,IN,/coord y:Int16,dist_diverge,tvd=0.949,home_other=0.04,high
2529,2546,0x0075,IN,/coord z:Int16,dist_diverge,tvd=0.736,home_other=0.00,high
12,2549,0x0011,IN,/TimeOffset:Int32,dist_diverge,tvd=1.000,home_other=0.00,high
12,2549,0x0024,IN,/ItemId:Int32,dist_diverge,tvd=0.985,home_other=0.12,high
2502,2549,0x0024,IN,/item id:Int32,dist_diverge,tvd=0.928,home_other=0.09,high
2507,2549,0x0024,IN,/item id:Int32,dist_diverge,tvd=0.971,home_other=0.09,high
2521,2549,0x0058,IN,/Look direction:Int16,dist_diverge,tvd=0.792,home_other=0.50,high
2521,2549,0x0058,IN,/animation:Int16,dist_diverge,tvd=0.520,home_other=0.01,medium
2521,2549,0x0058,IN,Coord/x:Int16,dist_diverge,tvd=0.718,home_other=0.43,high
2521,2549,0x0058,IN,Coord/z:Int16,dist_diverge,tvd=0.832,home_other=0.32,high
2521,2549,0x0058,IN,Velocity/x:Int16,dist_diverge,tvd=0.579,home_other=0.36,medium
2527,2549,0x0058,IN,NpcControl #/BufferSize:Int16,count_neg,-13586,"[26,26]",high
2527,2549,0x0058,IN,NpcControl #/ObjectId:Int32,dist_diverge,tvd=1.000,home_other=0.00,high
2527,2549,0x0058,IN,NpcControl #/PositionCoordS/X:Int16,dist_diverge,tvd=0.949,home_other=0.20,high
2527,2549,0x0058,IN,NpcControl #/PositionCoordS/Y:Int16,dist_diverge,tvd=1.000,home_other=0.18,high
2527,2549,0x0058,IN,NpcControl #/PositionCoordS/Z:Int16,dist_diverge,tvd=1.000,home_other=0.00,high
2527,2549,0x0058,IN,NpcControl #/Rotation / #:Int16,dist_diverge,tvd=0.586,home_other=0.00,medium
2527,2549,0x0058,IN,NpcControl #/SequenceId:Int16,dist_diverge,tvd=0.529,home_other=0.00,medium
2506,2549,0x005E,IN,/mode:Byte,dist_diverge,tvd=0.532,home_other=0.00,medium
2503,2549,0x0069,IN,/item id:Int32,dist_diverge,tvd=1.000,home_other=0.00,high
2503,2549,0x0069,IN,/item uid:Int64,dist_diverge,tvd=0.895,home_other=0.80,high
2503,2549,0x0069,IN,/obj id:Int32,dist_diverge,tvd=1.000,home_other=0.00,high
12,2550,0x0011,IN,/TimeOffset:Int32,dist_diverge,tvd=1.000,home_other=0.00,high
2528,2550,0x002E,IN,Stat #/StatMax:Int32,dist_diverge,tvd=0.640,home_other=0.00,high
2528,2550,0x002E,IN,Stat #/StatTotal:Int32,dist_diverge,tvd=0.634,home_other=0.00,high
